NMT; anio; mes; dia; tipo; LAEQ; LAS01; LAS10; LAS50; LAS90; LAS99
1;2021;1;2; D; 065.1; 071.0; 068.5; 062.0; 055.1; 047.5
2;2021;1;2; D; 068.7; 074.5; 069.8; 066.8; 061.6; 056.4
3;2021;1;2; D; 058.1; 066.8; 060.5; 054.2; 046.5; 041.7
5;2021;1;2; D; 060.9; 067.6; 063.5; 058.9; 052.7; 044.7
6;2021;1;2; D; 068.1; 074.4; 070.8; 065.0; 057.8; 050.8
8;2021;1;2; D; 063.8; 070.7; 067.0; 062.5; 055.9; 046.5
10;2021;1;2; D; 063.0; 072.3; 067.0; 058.7; 052.3; 047.5
11;2021;1;2; D; 067.2; 073.5; 069.6; 064.6; 055.9; 046.2
12;2021;1;2; D; 061.3; 068.0; 063.3; 059.3; 054.6; 050.0
13;2021;1;2; D; 055.6; 064.1; 058.7; 052.7; 045.6; 040.2
14;2021;1;2; D; 063.9; 070.7; 065.1; 062.2; 058.3; 053.3
16;2021;1;2; D; 060.7; 067.5; 064.5; 058.9; 047.6; 041.5
17;2021;1;2; D; 056.6; 063.6; 058.1; 052.9; 046.8; 044.2
18;2021;1;2; D; 055.2; 065.0; 057.9; 051.2; 045.3; 042.5
19;2021;1;2; D; 058.3; 066.8; 061.3; 055.0; 049.3; 045.6
20;2021;1;2; D; 059.4; 067.5; 062.3; 057.3; 050.3; 043.3
24;2021;1;2; D; 049.6; 057.5; 052.9; 047.7; 039.6; 038.3
25;2021;1;2; D; 067.0; 070.4; 068.8; 067.0; 063.4; 058.7
26;2021;1;2; D; 059.9; 068.8; 064.3; 055.6; 051.8; 048.8
27;2021;1;2; D; 056.8; 065.9; 060.4; 052.4; 047.3; 043.8
28;2021;1;2; D; 067.1; 075.2; 071.3; 063.6; 053.3; 045.4
29;2021;1;2; D; 056.2; 064.8; 060.6; 052.0; 043.3; 035.0
30;2021;1;2; D; 057.3; 064.9; 060.8; 055.1; 047.7; 044.2
31;2021;1;2; D; 064.8; 073.9; 069.9; 058.2; 048.4; 045.3
47;2021;1;2; D; 054.6; 065.9; 055.1; 047.5; 042.1; 039.2
