Id_Estacion,Nombre_Estación,URI_Estacion,Fecha,tipo,Hash_Observacion,URI_Observacion,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
14,Fernandez Ladreda,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/fernandez-ladreda,1/1/2021,D,8629133af44cbafd8ecb9fc76dd1bdf8,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/8629133af44cbafd8ecb9fc76dd1bdf8,062.6,067.9,064.2,060.6,054.3,050.1
16,Arturo Soria,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/arturo-soria,1/1/2021,D,a5a934bc020ec82427edb609743c23de,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/a5a934bc020ec82427edb609743c23de,060.5,068.6,064.4,055.7,042.2,036.7
17,Villaverde,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/villaverde,1/1/2021,D,b84d90c30a079e73bf7364b3b27b58fb,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/b84d90c30a079e73bf7364b3b27b58fb,055.9,062.8,055.8,049.8,043.4,040.7
18,Farolillo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/farolillo,1/1/2021,D,2fb7202e7ee8516f2bd2979aa88cb57f,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/2fb7202e7ee8516f2bd2979aa88cb57f,054.1,065.7,056.6,048.0,042.0,040.0
19,Alto Extremadura,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/alto-extremadura,1/1/2021,D,1071484d9fb8ae07906b8d7e554b78e5,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/1071484d9fb8ae07906b8d7e554b78e5,056.0,064.4,059.4,052.9,045.8,042.0
20,Avda Moratalaz,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/avda-moratalaz,1/1/2021,D,65a7fa50277aed44bbdadfef8d8d1296,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/65a7fa50277aed44bbdadfef8d8d1296,058.6,066.0,060.7,056.1,046.0,041.5
24,Casa de Campo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/casa-de-campo,1/1/2021,D,5b52f86a89b664c6f6a1cbcf9b3e9ff9,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/5b52f86a89b664c6f6a1cbcf9b3e9ff9,046.3,053.7,048.8,043.5,039.3,038.1
25,Santa Eugenia,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/santa-eugenia,1/1/2021,D,ff832656ca3f92aff4ad1951ba10c4d0,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/ff832656ca3f92aff4ad1951ba10c4d0,064.7,068.7,066.9,064.3,059.2,052.9
26,Embajada,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/embajada,1/1/2021,D,a8abe81ba9de5179e6d452a656efd11f,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/a8abe81ba9de5179e6d452a656efd11f,058.1,068.2,062.1,053.5,048.5,044.3
27,Barajas Pueblo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/barajas-pueblo,1/1/2021,D,8228c0092f792a911965e0b92f0d03c9,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/8228c0092f792a911965e0b92f0d03c9,054.5,065.7,057.6,048.5,041.9,038.4
